date,province_thai,month,year,value_tourist,value_revenue,tourist_growth_12m,revenue_growth_12m,tourist_vol,revenue_vol,volatility,lag1_tourist,lag12_tourist,lag1_revenue,lag12_revenue,value_tourist_log,value_revenue_log,lag1_tourist_log,lag12_tourist_log,lag1_revenue_log,lag12_revenue_log,deep_season_label,province_enc,season_enc
2020-01-01,กระบี่,1,2020,567726.0,12505300000.0,-0.04552313272193137,0.06215821845923605,0.32022259924300467,0.3819024804925884,0.35671432915699763,777417.0,564380.0,14405140000.0,10844790000.0,0.9606960159395898,1.892864443810346,1.1547073407860216,1.0206351667659523,1.951211140888462,1.8593246957673528,Mixed,0,2
2020-02-01,กระบี่,2,2020,427837.0,9033430000.0,-0.5022691297468923,-0.29421461912868097,0.2728647545970502,0.2945947880768703,0.22100180429603808,567726.0,730767.0,12505300000.0,13653020000.0,0.7881804586826452,1.7311814251674094,0.9629618834516738,1.1845920036460331,1.8813866356734343,1.9745270618917947,Mixed,0,2
2020-03-01,กระบี่,3,2020,161729.0,2393230000.0,-0.8758351340845725,-0.6356235145271402,0.40214536918912636,0.4211666389586861,0.47884345286468094,427837.0,669491.0,9033430000.0,12542640000.0,0.19493798277149854,1.0708242027534922,0.7903956703471763,1.1290166117796503,1.7208270102381615,1.9320899927954256,Mixed,0,2
2020-04-01,กระบี่,4,2020,391.0,25380000.0,-1.1376810015839922,-0.7720320798586852,0.6914993054876271,0.7053129556662311,1.0568025138247636,161729.0,747326.0,2393230000.0,9445720000.0,-3.4776528440126797,-1.189432960490696,0.1969790002885601,1.198811142180972,1.06505802983332,1.7902245509239516,Critical Risk,0,0
2020-05-01,กระบี่,5,2020,198.0,12850000.0,-1.1378996491755589,-0.7727918209539555,0.9917670129540783,1.00302797276817,1.6594343908821136,391.0,615062.0,25380000.0,7839310000.0,-3.8910843224697995,-1.5278013572686935,-3.476690211564209,1.075206843917913,-1.1794945927233271,1.6969669762805681,Critical Risk,0,0
2020-06-01,กระบี่,6,2020,27614.0,342820000.0,-1.0828112857840113,-0.7374853699396273,1.2356804007547741,1.3303826047548415,2.2351438636194376,198.0,541085.0,12850000.0,6811420000.0,-0.8829603514360362,0.10476732526306014,-3.8902430861567225,0.9938863494299801,-1.515511964874131,1.6266525760583708,Survival,0,4
2020-07-01,กระบี่,7,2020,45045.0,610810000.0,-1.000628958971481,-0.6957232287652632,1.508084673689141,1.702970361696531,2.8851505305039833,27614.0,355556.0,342820000.0,5659620000.0,-0.5845603209430538,0.3919108779949718,-0.8812358378596236,0.7274265836616269,0.10571343260273741,1.5339788504308292,Survival,0,4
2020-08-01,กระบี่,8,2020,53591.0,653860000.0,-0.9589774111732164,-0.6825636618197122,1.2455092866707353,1.3166318541523527,2.2311915075052826,45045.0,324731.0,610810000.0,5186380000.0,-0.47862513441535354,0.42577036515900696,-0.5827481879849763,0.6698785509515816,0.39086187713175286,1.490294038842171,Survival,0,4
2020-09-01,กระบี่,9,2020,48796.0,556550000.0,-0.9861335763661234,-0.7016502059721491,0.823226938411543,0.7899738645701041,1.2748734175109946,53591.0,348461.0,653860000.0,5579430000.0,-0.5357841159880917,0.34566163365397967,-0.47678189564430157,0.7146355370760028,0.4244861044755897,1.5268397947555878,Survival,0,4
2020-10-01,กระบี่,10,2020,74263.0,938310000.0,-0.9917013535590034,-0.7070066013049067,0.6068378563856005,0.6036064202372388,0.8689855690754202,48796.0,550474.0,556550000.0,10158900000.0,-0.2796858139484626,0.6053341988387673,-0.5339576608434145,1.0048034018773628,0.3449339781453215,1.8266391223774538,Mixed,0,2
